ofertas,Empresa,Rango_Salario,Publicado,Link
Ejecutivo cuentas claves - food service bogota,FEDERAL,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-cuentas-claves-food-service-bogota/1884483069
Analista programador senior,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-programador-senior/1884483149
Jefe de seguridad de la informacion,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-seguridad-de-la-informacion/1884483548
Asesores comerciales especializados - bogota i,METLIFE SEGUROS DE VIDA S.A.,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesores-comerciales-especializados-bogota-i/1884483211
Payroll analyst / ingles b2,ADECCO COLOMBIA S A,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/payroll-analyst-ingles-b/1884482722
Ejecutivo comercial externo libranza,ACTIVOS S.A.S.,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-externo-libranza/1884483122
Medellin  analista financiero,ALKOSTO,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medellin-analista-financiero/1884483553
Jefe comercial  bogota,SMART TRAINING SOCIETY SAS,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-comercial-bogota/1884483061
Asesores comerciales especializados - bogota i,METLIFE SEGUROS DE VIDA S.A.,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesores-comerciales-especializados-bogota-i/1884483211
Senior hseq,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/senior-hseq/1884482193
Ejecutivos comerciales  bogota - i,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivos-comerciales-bogota-i/1884483214
Jefe de operaciones en el sector de alimentos,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-operaciones-en-el-sector-de-alimentos/1884483583
Coordinador de operaciones - bogota,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-operaciones-bogota/1884483241
Coordinador cuentas por pagar,MANPOWER,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-cuentas-por-pagar/1884482731
Auditor de sistemas,JURISCOOP,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/auditor-de-sistemas/1884482317
Asistente comercial,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asistente-comercial/1884444000
Ingeniero agronomo comercial poscocecha,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-agronomo-comercial-poscocecha/1884483093
Director financiero - con experiencia en el sector de la construccion,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/director-financiero-con-experiencia-en-el-sector-de-la-construccion/1884483270
Convocatoria analista de soporte comercial fiducia bogota,FOCUN,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/convocatoria-analista-de-soporte-comercial-fiducia-bogota/1884483608
Analista programador senior,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-programador-senior/1884483149
Business parner payroll latam,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/business-parner-payroll-latam/1884482985
Ejecutivo cuentas claves - food service bogota,FEDERAL,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-cuentas-claves-food-service-bogota/1884483069
Analista senior de pruebas,Colfondos,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-senior-de-pruebas/1884482990
Payroll analyst / ingles b2,ADECCO COLOMBIA S A,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/payroll-analyst-ingles-b/1884482722
Desarrollador i,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-i/1884482380
"Docente, capacitador, cyberseguridad, seguridad de la informacion/ santamarta y bogota",Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/docente-capacitador-cyberseguridad-seguridad-de-la-informacion-santamarta-y-bogota/1884481439
Gerente comercial it oracle,SERVIMOS LTDA,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gerente-comercial-it-oracle/1884481759
Medico laboral y auditor concurrente  - bogota dc,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medico-laboral-y-auditor-concurrente-bogota-dc/1884480368
Analista de desarrollo javascript,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-de-desarrollo-javascript/1884479105
Residente de estructura y acabados,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/residente-de-estructura-y-acabados/1884481676
Desarrollador bogota y medellin - hightech software,ArteUmano,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-bogota-y-medellin-hightech-software/1884102473
Profesionales en medicina con disponibilidad inmediata,ACTIVOS S.A.S.,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesionales-en-medicina-con-disponibilidad-inmediata/1884481631
Jefe de finca,Elite Flower,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-finca/1884480981
!!te esperamos!! tecnico linea blanca - contratacion inmediata,OUTSOURCING S.A,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/te-esperamos-tecnico-linea-blanca-contratacion-inmediata/1884481657
Ingeniero de proyectos /bogota y alrededores,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-proyectos-bogota-y-alrededores/1884480374
Coordinador de seguridad fisica nacional,Fortox Security Group,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-seguridad-fisica-nacional/1884480673
Ibague - residentetecnico de interventoria,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ibague-residentetecnico-de-interventoria/1884480561
Asesor comercial senior tecnologia,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-senior-tecnologia/1884480391
Coordinador de arquitectura de informacion,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-arquitectura-de-informacion/1884481552
"Se busca tecnologo o  profesional en: ingenieria de sistemas, electronica, o o afines",Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/se-busca-tecnologo-o-profesional-en-ingenieria-de-sistemas-electronica-o-o-afines/1884481744
"Ejecutivo comercial de libranza excelentes comisiones, bogota",ADECCO COLOMBIA S A,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-de-libranza-excelentes-comisiones-bogota/1884481721
Especialista financiero,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/especialista-financiero/1884481227
Project manager,PROCAPS S.A.,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/project-manager/1884481435
Jefe comercializacion y nuevos negocios,PORKCOLOMBIA,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-comercializacion-y-nuevos-negocios/1884480218
Desarrollador .net laravel c++,THT SAS,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-net-laravel-c/1884481735
Ingeniero de desarrollo aplicaciones,SERDAN SA,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-desarrollo-aplicaciones/1884481743
Gestor seguridad de la informacion,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gestor-seguridad-de-la-informacion/1884414193
Docente sociales bilingue,GIMNASIO FONTANA SA,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/docente-sociales-bilingue/1884480708
Medico laboral y auditor concurrente  - bogota dc,Empresa confidencial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medico-laboral-y-auditor-concurrente-bogota-dc/1884480368
Profesionales en medicina con disponibilidad inmediata,ACTIVOS S.A.S.,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesionales-en-medicina-con-disponibilidad-inmediata/1884481631
Jefe de finca arandanos,Elite Flower,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-finca-arandanos/1884480979
Analista de pruebas qa senior bogota,THT SAS,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-de-pruebas-qa-senior-bogota/1884481322
Project manager,PROCAPS S.A.,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/project-manager/1884481435
Programador .net,GFI Informatica Colombia SAS,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/programador-net/1884481569
Gerente comercial it oracle,SERVIMOS LTDA,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gerente-comercial-it-oracle/1884481759
Lider de tecnologia,El Tiempo Casa Editorial,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/lider-de-tecnologia/1884480992
Desarrollador bogota y medellin - hightech software,ArteUmano,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-bogota-y-medellin-hightech-software/1884102473
Analista ii sanciones,Colfondos,"$4 a $4,5 millones",12 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-ii-sanciones/1884480454
